Product Name,Brand,Name,Title,Rating,Comment,Helpful Vote,Date
"Royal Dansk Danish Cookie Selection, No Preservatives or Coloring Added, 12 Ounce","








  

  
  
    
  

  

  
    byRoyal Dansk
  

",PT,"







  
  
    Not One Was Broken
  
",5.0 out of 5 stars,"









  
  
    
  I ordered these because theyre awesome, byt had my doubts as they are hard, brittle cookies to be sent through the mail.To my surprise when they arrived not one single cookie was broken, better than buying them in a brick and mortor store.They are the same, original, classic Christmas cookies at a great price. Will buy again

  
",2 people found this helpful,"December 3,2021"
"Royal Dansk Danish Cookie Selection, No Preservatives or Coloring Added, 12 Ounce","








  

  
  
    
  

  

  
    byRoyal Dansk
  

",LennyP,"







  
  
    Stale imposters!
  
",1.0 out of 5 stars,"









  
  
    
  Cookies tasted stale and these are either imposters OR Royal Dansk has foolishly changed the recipe. The ones that are supposed to have that delicious CHUNKY sugar pieces on them NO LONGER in the tin. I tasted only a couple before dumping the entire tin in the garbage.  WASTE OF MONEY!

  
",One person found this helpful,"January 10,2021"
"Royal Dansk Danish Cookie Selection, No Preservatives or Coloring Added, 12 Ounce","








  

  
  
    
  

  

  
    byRoyal Dansk
  

",Mrs C,"







  
  
    Cookies in a sewing tin!
  
",4.0 out of 5 stars,"









  
  
    
  As a small child, my grandmother used a tin of these cookies as her sewing kit.  I remember being unhappy when I was expecting cookies but finding needles, threads etc.  Now,  I associate the tin only with sewing materials and I'm startled to find cookies in them!I do love the cookies but these are not as buttery as I remember.  Not sure if its a function of my memory or the formula.

  
",One person found this helpful,"October 9,2020"
"Royal Dansk Danish Cookie Selection, No Preservatives or Coloring Added, 12 Ounce","








  

  
  
    
  

  

  
    byRoyal Dansk
  

",Mark,"







  
  
    What happened ???
  
",5.0 out of 5 stars,"









  
  
    
  Surely i am doomed should i buy another tin of these cookies. OTOH - if all the world were to share these - peace and prosperity would conquer hate and poverty - once and for all times.UPDATE:  Bought these back in march of this year at $3.38 for a 12 oz tin.What in the wide wide world of price gouging is going on here??

  
",One person found this helpful,"March 21,2021"
"Royal Dansk Danish Cookie Selection, No Preservatives or Coloring Added, 12 Ounce","








  

  
  
    
  

  

  
    byRoyal Dansk
  

",Antoinette,"







  
  
    Classic Cookies
  
",5.0 out of 5 stars,"









  
  
    
  When I was young, my grandparents used to give us these cookies at Christmas each year. I looked forward to that blue tin and tried to figure out how to get all of my favorites before my brother got to them. I still love these cookies as an adult. They have become a tradition. I really like that they're made with clean ingredients. I'm glad I can purchase them on Amazon. I HIGHLY recommend them.Thanks so much for taking the time to read this review. I hope the information that I've provided makes your decision a little easier.

  
",9 people found this helpful,"January 26,2021"
"Royal Dansk Danish Cookie Selection, No Preservatives or Coloring Added, 12 Ounce","








  

  
  
    
  

  

  
    byRoyal Dansk
  

",E. K.,"







  
  
    Unfortunately, Stale and Broken
  
",1.0 out of 5 stars,"









  
  
    
  I’ve purchased and enjoyed Royal Dansk butter cookies for decades, but I’ve always purchased them in a store rather than online.  The cookies were broken and tasted stale although they hadn’t come close to the Use By/Best By date.  That left me wondering if these were even the genuine article.  There are, after all, so many inferior knock offs on the shelves.  Needless to say, I went back to buying my Royal Dansk in a store.  They were not broken and had the delicate fresh buttery taste I know and love.

  
",4 people found this helpful,"March 12,2021"
"Royal Dansk Danish Cookie Selection, No Preservatives or Coloring Added, 12 Ounce","








  

  
  
    
  

  

  
    byRoyal Dansk
  

",Sorrel,"







  
  
    great snack and perfect for holding sewing supplies
  
",5.0 out of 5 stars,"









  
  
    
  To my surprise, there are actual cookies in the tin and not just sewing supplies. After realizing my whole childhood was a lie, I consoled myself with a handful of these delicious sweets (mainly the pretzel ones, because even though they're all the same flavor, these are objectively just better) and a few days later, the tin was empty. I then transferred my loose sewing supplies into the tin so that I can prepare to deceive any future innocent grandchildren who come to visit and think that I have sweets, only to be disappointed when they find needles and thread. Would highly recommend if you, like me, are trying to relive the glory days of deceitful cookie tins and grabbing this iconic blue tin when you needed to patch that whole in your pants.

  
",6 people found this helpful,"August 22,2020"
"Royal Dansk Danish Cookie Selection, No Preservatives or Coloring Added, 12 Ounce","








  

  
  
    
  

  

  
    byRoyal Dansk
  

",SomewhereInMinnesota,"







  
  
    What a joke
  
",1.0 out of 5 stars,"









  
  
    
  Imagine what it would look like if a truck ran over the tin.  Ordered several - they were utterly destroyed.  Squashed in and dented.  Can't even open one to get to the crumbs inside.When I tried to return or exchange, Amazon's only option was to ""call"".So I stupidly did.  Automated b.s. and a waste of time.So maybe don't waste your time on these here.

  
",One person found this helpful,"December 18,2020"
"Royal Dansk Danish Cookie Selection, No Preservatives or Coloring Added, 12 Ounce","








  

  
  
    
  

  

  
    byRoyal Dansk
  

",camerachick,"







  
  
    Amazing Cookies
  
",5.0 out of 5 stars,"









  
  
    
  Not sure why my mom along with so many people reused this cookie can specifically for a sewing kit back in the day, but I purchased these cookies out of pure curiosity to try (and also to try them dipped in Nutella). Not only are these cookies delicious, but they are AMAZING with Nutella and now I have a reusable tin can! 10/10 will buy more of these cookies (and Nutella)

  
",4 people found this helpful,"February 6,2021"
"Royal Dansk Danish Cookie Selection, No Preservatives or Coloring Added, 12 Ounce","








  

  
  
    
  

  

  
    byRoyal Dansk
  

",Karen,"







  
  
    After so many years, it's still the same taste.
  
",1.0 out of 5 stars,"









  
  
    
  The last time i come to in this was at a riteAid. 2 for $6, decent packaging in a box, nice demo figures. No reason to reject such a deal.That cant wait to get home and open the box and have the very first bite, however, was totally a different story. It tasted like stale, and hints of other unpleasantness in it. I looked at the exp. date and it was still well before the last date. But not a freshly fresh date either. So i took it, they were on sale for some reason, or another.Now it's probably 5 years passed. One evening just like all others, i sat at the desk and found this, 'ROYAL DANSK butter cookies', all of a sudden on my side. It feels like memory-twisted and deja vu. Like you throw something away and it stubbornly won't leave you and come back, making you think you are in a time or space of distortion. Obviously it was purchased by the other one in this house. I remember nothing but the not-so-good experience with this, not the taste, but the feeling only. So why not give it another try, for things changed so fast, trump came and left, covid came and stays forever, during this five years.It was not a bad one though, pretty much in the level with average baking American families'. Yet i can still tell this is something from Royal Dansk, since all those typical taste and unpleasant vibes, old and new, still remains. I double checked that it was 'made in danmark'. But I don't understand why it must always come with a hint of bitterness, even if just a tiny bit. The other reviewer was really cool though, as is always can't tell any difference for anything.If you really enjoy butter cookies, try some K or D brands with a few more bucks. But hear me not if this is just your go-to favorite.

  
",5 people found this helpful,"November 17,2021"
"Royal Dansk Danish Cookie Selection, No Preservatives or Coloring Added, 12 Ounce","








  

  
  
    
  

  

  
    byRoyal Dansk
  

",Sany123,"







  
  
    THE Best Danish Cookies!
  
",5.0 out of 5 stars,"









  
  
    
  I’ve always loved these buttery, melt-in-your-mouth Danish cookies, which always seem to abound in workplaces throughout America around the holidays. Since I no longer work, I had to supply myself with these!  They are the same as always. So good! IN FACT, THEY HELPED ME GAIN 5 LBS THIS LAST MONTH!! Yes, they forced their way into my closed and resisting mouth!I tried another brand of Danish cookies and was terribly disappointed. I’m sorry, Royal Dansk, and I will remain true to you for the rest of my days!

  
",One person found this helpful,"December 5,2019"
"Royal Dansk Danish Cookie Selection, No Preservatives or Coloring Added, 12 Ounce","








  

  
  
    
  

  

  
    byRoyal Dansk
  

",Natalie ,"







  
  
    evilly, sinfully delicious Danish butter cookies
  
",5.0 out of 5 stars,"









  
  
    
  the Danish butter cookies are evilly and sinfully delicious and can and would eat them in one sitting, well maybe two.  they are very delicious and go well as a snack or a desert.  the tin after the cookies are gone can be reused.  this is the first time i got them after a long while.  and i would more than likely order them again.  12 step butter cookie  program, here i come.

  
",One person found this helpful,"October 22,2020"
"Royal Dansk Danish Cookie Selection, No Preservatives or Coloring Added, 12 Ounce","








  

  
  
    
  

  

  
    byRoyal Dansk
  

",Meiling Qi,"







  
  
    Not good
  
",1.0 out of 5 stars,"









  
  
    
  It’s hard and a little stale. Don’t know if it’s because it’s not fresh or because they messed up this batch. I’ve had danish butter cookies before, they were softer, crumbles easily and melt in your mouth. This is not it.

  
",2 people found this helpful,"January 15,2021"
"Royal Dansk Danish Cookie Selection, No Preservatives or Coloring Added, 12 Ounce","








  

  
  
    
  

  

  
    byRoyal Dansk
  

",Harry Hwong,"







  
  
    It was a good purchase
  
",5.0 out of 5 stars,"









  
  
    
  I had ordered 4 and it was placed sideways perfectly into a box. None of them were anywhere near expiration date. All the cookies were in great shape after I had opened one of them. Two of the boxes were given away as small gifts to family members and they enjoyed them.I have a Costco card so why buy this? The Costco mega box makes you get sick of it if you are eating as a single person. Second, I know that the other boxes will stay fresh while I am working on one of them. Third, you get several sewing containers instead of one large one.

  
",One person found this helpful,"August 27,2020"
"Royal Dansk Danish Cookie Selection, No Preservatives or Coloring Added, 12 Ounce","








  

  
  
    
  

  

  
    byRoyal Dansk
  

",Omid,"







  
  
    Tasted very stale and flavorless
  
",1.0 out of 5 stars,"









  
  
    
  I have ate these many times in the past, however this was my time ordering them online, and the taste was just horrendous. There was absolutely no flavor, just a little bit of salt on bland baked dough. It was really disappointing, especially because the cookies looked very good appearance-wise. Perhaps even worse than that was their lack of freshness. The cookies were rather hard and stale, and didn't seem like they normally have in the past for me at all.

  
",One person found this helpful,"April 8,2020"
"Royal Dansk Danish Cookie Selection, No Preservatives or Coloring Added, 12 Ounce","








  

  
  
    
  

  

  
    byRoyal Dansk
  

",Sasha,"







  
  
    These ARE NOT the cookies I remember as a kid!
  
",1.0 out of 5 stars,"









  
  
    
  Long story short: these cookies are absolutely nasty! Gone is that wonderful buttery, yet slightly sweet taste of yesteryear. These cookies now taste like a bag of pure sugar. Just nasty!

  
",4 people found this helpful,"March 4,2021"
"Royal Dansk Danish Cookie Selection, No Preservatives or Coloring Added, 12 Ounce","








  

  
  
    
  

  

  
    byRoyal Dansk
  

",Rita,"







  
  
    Pass on these
  
",1.0 out of 5 stars,"









  
  
    
  These cookies are very mediocre in my opinion. They were packed in a huge box w nothing inside to stabilize them. So naturally they were broken and in crumbs. How could l offer these to anyone as a gift? They did not taste fresh at all. Also, there is coconut in these cookies if that is a concern for anyone. Disappointed-waste of my money.

  
",One person found this helpful,"May 1,2020"
"Royal Dansk Danish Cookie Selection, No Preservatives or Coloring Added, 12 Ounce","








  

  
  
    
  

  

  
    byRoyal Dansk
  

",Nativehabitat,"







  
  
    Taste is ""off"" . . .
  
",2.0 out of 5 stars,"









  
  
    
  I ordered these because I enjoyed them long ago, and I've been wanting a snack that isn't so overpoweringly sweet as so many others are.  That part is still true, but I these seemed to have an off-putting ""cardboard"" taste and not a trace of vanilla nor much of a buttery flavor.  I note that the ingredients list:  butter (milk) as the 2nd ingredient:  does that mean ""buttermilk"" ?  Coconut is listed, but I couldn't detect it.  Disappointing, but maybe they were always this way and just seemed better in remembrance . . . on the plus side, the freshness date was fine (to December 2021), and none of the cookies were broken.

  
",4 people found this helpful,"June 14,2020"
"Royal Dansk Danish Cookie Selection, No Preservatives or Coloring Added, 12 Ounce","








  

  
  
    
  

  

  
    byRoyal Dansk
  

",Siameez,"







  
  
    Broken cookies.  Very disappointed!
  
",3.0 out of 5 stars,"









  
  
    
  These cookies are delicious!  I’ve ordered them before and they came well packed.  NOT this time.  I ordered six tins.  When they arrived there were six tins bouncing around in a large cardboard bow.  One strip of four packing air-pillows was in the box.  Three of the four pillows were not inflated.  Cookies are a mess of crumbs.  I opened one tin...I’m assuming the other five are in the same condition.  Some of these were supposed to be gifts.  Whomever packed this box needs a lesson in packing.  Very disappointed!

  
",2 people found this helpful,"August 16,2020"
"Royal Dansk Danish Cookie Selection, No Preservatives or Coloring Added, 12 Ounce","








  

  
  
    
  

  

  
    byRoyal Dansk
  

",PS,"







  
  
    Nostalgic Cookies Deliver on Taste
  
",5.0 out of 5 stars,"









  
  
    
  Many people will likely recognize these danish butter cookies by Royal Dansk in the bold blue tin. Like many  others, I have fond memories of eating these as a child. My parents would often get these metal tins of cookies as gifts from friends, and once opened, they would leave them on the kitchen sideboard for family members to snack on. I was pleased to see that only one cookie was broken when I opened the first tin, so that seems reasonable to me, given that they had to be shipped, stored, then shipped again. The variety of shapes is good, and the cookies were all fresh, crisp and buttery tasting, with that hint of sugar I remember. Delivery was fast, the items were well packed, and the price per tin seems more than reasonable. I would definitely recommend these if you are in the mood for a sweet taste of nostalgia.

  
",3 people found this helpful,"April 16,2020"
"Royal Dansk Danish Cookie Selection, No Preservatives or Coloring Added, 12 Ounce","








  

  
  
    
  

  

  
    byRoyal Dansk
  

",Briesinherpjsagain,"







  
  
    Sweet nostalgia in a tin.
  
",5.0 out of 5 stars,"









  
  
    
  Currently helping lower the curve while I make mine bigger :/ I'm gonna weigh a quaranTON by the time this pandemic is over. Aside from that, the only caveat I have is that one can came a little dented, but that didn't warrantee a star deduction. The contents were perfectly fine and fresh. I found just a few cookies broken out of two tins and it wasn't crumbs. While I know these are sold in the dollar stores sometimes, the slightly heightened price is worth the convenience.  Nice little nostalgic snack that brings you back to better times. Thank you. :)

  
",One person found this helpful,"April 7,2020"
"Royal Dansk Danish Cookie Selection, No Preservatives or Coloring Added, 12 Ounce","








  

  
  
    
  

  

  
    byRoyal Dansk
  

",Kristen Raffa,"







  
  
    Not as good as it used to be, would highly recommend to not buy these.
  
",1.0 out of 5 stars,"









  
  
    
  To be honest i love these cookies. But the company has been slipping for quite some time, i had an incident where i bought a pack of these, and it was missing over half of the cookies, more like 3 quarters of the cookies were not packaged, than theres others that show up completely burnt to a crisp and taste absolutely awful. Than other times where they show up like a worker just threw a bumch of crushed up cookies into the slits. Ive decided to try buying 1 more and to no surprise they shown up burnt and tasting like crud. This is a company problem, as i tried reaching out to the company about 3 quarters of the cookies missing, gave them all the information, they said they were going to refund and investigate and after that they stopped replying to me and no refund in site. As much as i loved these cookies and my kid and the kids i babysit, i will no longer be buying these until the company gets their crud together and start taking pride into their product again. I highly suggest you to spend less money on a safer cookie, or even make your own.

  
",3 people found this helpful,"March 9,2021"
"Royal Dansk Danish Cookie Selection, No Preservatives or Coloring Added, 12 Ounce","








  

  
  
    
  

  

  
    byRoyal Dansk
  

",Baney,"







  
  
    Stale! Amazon orders are not consistent with quality.  Better buying experiences other companie
  
",1.0 out of 5 stars,"









  
  
    
  Stale! Very disappointed in taste.  Can't count on quality with amazon.  Hit or miss. First time I bought these they were great.  This time after tasting a few cookies I threw them out.  Never sure what u r going to get when ordering from amazon.  Convenience of buying on line and free delivery and returns but starting to find other companies are comparable and quality better.

  
",One person found this helpful,"July 3,2021"
"Royal Dansk Danish Cookie Selection, No Preservatives or Coloring Added, 12 Ounce","








  

  
  
    
  

  

  
    byRoyal Dansk
  

",Mrs.58,"







  
  
    Bland, tasteless,disappointing
  
",1.0 out of 5 stars,"









  
  
    
  It must be this brand because Danish Butter Cookies are delicious. This brand is so cheap they don't even sprinkle sugar on the cookies, its just bland, non-buttery tasting cookies. We tried 2 and couldn't eat further. No recommended at all. I should have realized for this price I'm not getting Kjedelsen Butter Cookie quality.

  
",2 people found this helpful,"October 12,2020"
"Royal Dansk Danish Cookie Selection, No Preservatives or Coloring Added, 12 Ounce","








  

  
  
    
  

  

  
    byRoyal Dansk
  

",Joseph J. Truncale,"







  
  
    If you like butter cookies you will love this Royal Dansk Dainish butter cookie selection.
  
",4.0 out of 5 stars,"









  
  
    
  Before this horrendous Covid-19 Virus Crisis I used to purchase all my favorite cookies at the big box stores; however, I now order just about everything on line, which I found to be convenient and for the most part very quick service.I recently ordered this wonderful product (Royal Dansk Danish Butter Cookie selection in a 12 oz. can) for a bargain price ($2.78) on Amazon.  I was pleased with the quick service receiving this product in just a few days.I found these sugar cookies to be fresh and delicious. I love dunking them in my coffee.If you like these quality Danish butter cookies you may want to check them out on Amazon.Rating: 5 Stars.  Joseph J. Truncale (Author: Pro-Systems Combatives Vol. 1,2)

  
",2 people found this helpful,"May 18,2020"
"Royal Dansk Danish Cookie Selection, No Preservatives or Coloring Added, 12 Ounce","








  

  
  
    
  

  

  
    byRoyal Dansk
  

",Cat Lover,"







  
  
    DELICIOUS
  
",5.0 out of 5 stars,"









  
  
    
  These are delicious cookies.  All are butter cookies, but come with mildly different flavors and shapes--some with sugar toppings.  The tin that the cookies come in is sturdy and nice looking, making it appropriate to put out at a party or give to friends as a gift.  The tin can also be used for storage of small items after the cookies are finished.  These cookies are worth the price--try them--you won't be sorry.

  
",2 people found this helpful,"October 12,2020"
"Royal Dansk Danish Cookie Selection, No Preservatives or Coloring Added, 12 Ounce","








  

  
  
    
  

  

  
    byRoyal Dansk
  

",Love2Earth: I mean IT,"







  
  
    Classical!
  
",4.0 out of 5 stars,"









  
  
    
  Why do I give out 4 stars: because these cookies are GREAT or because they give AS DESCRIBED? Well, I like them. Today I see there are much greater ones. 5*.. 3*? They are EXACTLY AS THEY USED TO, so 5*. I wish better ones, that’s how 3*, yet: I WOULD ORDER THESE DANISH COOKIES AGAIN.. for 3$.. = 5*.

  
",One person found this helpful,"November 22,2021"
"Royal Dansk Danish Cookie Selection, No Preservatives or Coloring Added, 12 Ounce","








  

  
  
    
  

  

  
    byRoyal Dansk
  

",LiveWithTech,"







  
  
    Flavorful cookies !!
  
",4.0 out of 5 stars,"









  
  
    
  These danish cookies are one of our favorite but sometimes that too much milky & butter flavors keeps me away from eating more.- These taste great- Super packaging- Reasonable priced- Fresh and very flavorful- Sweet but not over doneRecommended to everyone to try at least once.

  
",One person found this helpful,"May 29,2020"
